candidate_id,rank,score,reasoning
CAND_0046525,1,0.91424,"Top-ranked: 6.1 YOE as Senior Machine Learning Engineer at Genpact AI. Expert-level skills include Machine Learning, LlamaIndex, Sentence Transformers, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Genpact AI). Availability signals: actively open to work; high response rate (88%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0041669,2,0.907606,"Top-ranked: 8.0 YOE as Recommendation Systems Engineer at CRED. Expert-level skills include Milvus, PEFT, Semantic Search, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (CRED). Availability signals: actively open to work; high response rate (77%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0018499,3,0.898325,"Top-ranked: 7.2 YOE as Senior Machine Learning Engineer at Zomato. Expert-level skills include Deep Learning, Weaviate, Recommendation Systems, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Zomato). Availability signals: actively open to work. Notice period 15d — within the JD's preferred range. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0086022,4,0.89164,"Top-ranked: 5.3 YOE as Senior Applied Scientist at Sarvam AI. Expert-level skills include pgvector, Fine-tuning LLMs, Pinecone, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Sarvam AI). Availability signals: actively open to work. Immediate joiner. Located in Kolkata, West Bengal (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0039754,5,0.889,"Top-ranked: 16.2 YOE as Senior Applied Scientist at Meta. Expert-level skills include Fine-tuning LLMs, Qdrant, NLP, OpenSearch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Meta). Availability signals: actively open to work; high response rate (81%). Notice period 30d — within the JD's preferred range. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0068811,6,0.884162,"Top-ranked: 8.0 YOE as Applied ML Engineer at Freshworks. Expert-level skills include Vector Search, Qdrant, scikit-learn, TensorFlow, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Freshworks). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0027691,7,0.880289,"Top-ranked: 6.5 YOE as NLP Engineer at Haptik. Expert-level skills include LoRA, Recommendation Systems, Weaviate, QLoRA, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Haptik). Availability signals: actively open to work. Notice period 15d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0011687,8,0.87876,"Top-ranked: 7.8 YOE as Senior NLP Engineer at Niramai. Expert-level skills include TensorFlow, OpenSearch, PEFT, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Niramai). Availability signals: actively open to work; high response rate (89%). Notice period 15d — within the JD's preferred range. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0052328,9,0.87862,"Top-ranked: 6.5 YOE as Recommendation Systems Engineer at Amazon. Expert-level skills include OpenSearch, QLoRA, Learning to Rank, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Amazon). Availability signals: actively open to work; high response rate (79%). Notice period 30d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0002025,10,0.87608,"Top-ranked: 5.9 YOE as Senior AI Engineer at Apple. Expert-level skills include FAISS, TensorFlow, scikit-learn, Haystack, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Apple). Availability signals: actively open to work; high response rate (80%). Notice period 30d — within the JD's preferred range. Located in Trivandrum, Kerala (matches JD's preferred Pune/Noida/NCR geography)."
CAND_0075574,11,0.87144,"Strong candidate: 5.7 YOE as Machine Learning Engineer at Haptik. Expert-level skills include pgvector, Weaviate, OpenSearch, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Haptik). Availability signals: actively open to work. Notice period 60d — above the JD's preferred 30-day threshold. Located in Bangalore, Karnataka (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0046064,12,0.86916,"Strong candidate: 8.9 YOE as Senior NLP Engineer at Salesforce. Expert-level skills include Python, Pinecone, Haystack, BM25, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Salesforce). Availability signals: actively open to work; high response rate (78%). Notice period 30d — within the JD's preferred range. Located in Coimbatore, Tamil Nadu (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0010257,13,0.865169,"Strong candidate: 6.5 YOE as Senior Data Scientist at Google. Expert-level skills include Milvus, TensorFlow, Python, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Google). Availability signals: actively open to work; high response rate (72%). Notice period 120d — above the JD's preferred 30-day threshold. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0071974,14,0.86146,"Strong candidate: 7.8 YOE as Senior AI Engineer at Netflix. Expert-level skills include Weaviate, BM25, Pinecone, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Netflix). Availability signals: actively open to work; high response rate (76%). Notice period 45d — above the JD's preferred 30-day threshold. Located in Vizag, Andhra Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0054394,15,0.860177,"Strong candidate: 4.1 YOE as Recommendation Systems Engineer at PharmEasy. Expert-level skills include Prompt Engineering, Fine-tuning LLMs, Embeddings, Haystack, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (PharmEasy). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0064326,16,0.858053,"Strong candidate: 7.6 YOE as Search Engineer at Sarvam AI. Expert-level skills include PyTorch, Deep Learning, Weaviate, RAG, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Sarvam AI). Availability signals: actively open to work; high response rate (94%). Notice period 45d — above the JD's preferred 30-day threshold. Located in Gurgaon, Haryana (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0042506,17,0.8569,"Strong candidate: 4.2 YOE as Search Engineer at Verloop.io. Expert-level skills include PEFT, Fine-tuning LLMs, TensorFlow, Information Retrieval, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Verloop.io). Availability signals: actively open to work. Notice period 15d — within the JD's preferred range. Located in Mumbai, Maharashtra (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0007009,18,0.853008,"Strong candidate: 7.9 YOE as Recommendation Systems Engineer at Wysa. Expert-level skills include Weaviate, Python, Embeddings, Learning to Rank, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Wysa). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0088025,19,0.85062,"Strong candidate: 8.6 YOE as Staff Machine Learning Engineer at Yellow.ai. Expert-level skills include QLoRA, LLMs, Hugging Face Transformers, RAG, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Yellow.ai). Availability signals: actively open to work; high response rate (83%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Jaipur, Rajasthan (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0069905,20,0.846927,"Strong candidate: 6.6 YOE as Applied ML Engineer at Sarvam AI. Expert-level skills include LoRA, Recommendation Systems, Sentence Transformers, LangChain, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Sarvam AI). Availability signals: actively open to work; high response rate (78%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Bhubaneswar, Odisha (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0007412,21,0.845189,"Strong candidate: 7.4 YOE as Applied ML Engineer at Zoho. Expert-level skills include Pinecone, PyTorch, BM25, Recommendation Systems, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Zoho). Availability signals: actively open to work; high response rate (76%). Notice period 120d — above the JD's preferred 30-day threshold. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0091909,22,0.84464,"Strong candidate: 6.9 YOE as Machine Learning Engineer at Rephrase.ai. Expert-level skills include LLMs, Pinecone, QLoRA, OpenSearch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Rephrase.ai). Availability signals: actively open to work. Notice period 45d — above the JD's preferred 30-day threshold. Located in Bangalore, Karnataka (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0081053,23,0.84104,"Strong candidate: 5.4 YOE as NLP Engineer at Glance. Expert-level skills include LoRA, QLoRA, Machine Learning, Learning to Rank, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Glance). Availability signals: actively open to work; high response rate (83%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Chandigarh, Chandigarh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0058575,24,0.83956,"Strong candidate: 5.8 YOE as AI Engineer at Krutrim. Expert-level skills include Recommendation Systems, Pinecone, PyTorch, Hugging Face Transformers, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Krutrim). Availability signals: actively open to work. Notice period 90d — above the JD's preferred 30-day threshold. Located in Chennai, Tamil Nadu (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0009691,25,0.83924,"Strong candidate: 6.2 YOE as Applied ML Engineer at LinkedIn. Expert-level skills include Recommendation Systems, Fine-tuning LLMs, LoRA, LangChain, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (LinkedIn). Availability signals: actively open to work. Notice period 120d — above the JD's preferred 30-day threshold. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0018549,26,0.8372,"Strong candidate: 6.8 YOE as Recommendation Systems Engineer at Uber. Expert-level skills include Weaviate, Elasticsearch, LangChain, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Uber). Availability signals: actively open to work; high response rate (73%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Coimbatore, Tamil Nadu (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0017960,27,0.83647,"Strong candidate: 7.7 YOE as Recommendation Systems Engineer at Nykaa. Expert-level skills include QLoRA, Hugging Face Transformers, Haystack, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Nykaa). Availability signals: actively open to work; high response rate (72%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Bangalore, Karnataka (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0052682,28,0.83626,"Strong candidate: 6.6 YOE as NLP Engineer at Aganitha. Expert-level skills include QLoRA, Semantic Search, FAISS, PyTorch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Aganitha). Availability signals: actively open to work; high response rate (88%). Notice period 30d — within the JD's preferred range. Located in Vizag, Andhra Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0055992,29,0.83306,"Strong candidate: 16.9 YOE as AI Engineer at CRED. Expert-level skills include Information Retrieval, FAISS, LangChain, OpenSearch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (CRED). Availability signals: actively open to work; high response rate (72%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Sydney (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0081846,30,0.83024,"Strong candidate: 6.7 YOE as Lead AI Engineer at Razorpay. Expert-level skills include Information Retrieval, Learning to Rank, Elasticsearch, Vector Search, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Razorpay). Availability signals: actively open to work; high response rate (73%). Notice period 30d — within the JD's preferred range. Located in Jaipur, Rajasthan (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0079064,31,0.829904,"Solid pick: 5.2 YOE as Senior Data Scientist at Niramai. Expert-level skills include LlamaIndex, OpenSearch, Semantic Search, Fine-tuning LLMs, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Niramai). Availability signals: actively open to work; high response rate (91%). Notice period 120d — above the JD's preferred 30-day threshold. Located in Noida, Uttar Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0055905,32,0.829408,"Solid pick: 8.1 YOE as Senior Machine Learning Engineer at Flipkart. Expert-level skills include Elasticsearch, LangChain, Python, OpenSearch, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Flipkart). Availability signals: actively open to work; high response rate (87%). Notice period 30d — within the JD's preferred range. Located in London (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0074225,33,0.82827,"Solid pick: 4.3 YOE as Machine Learning Engineer at Unacademy. Expert-level skills include Elasticsearch, Milvus, Python, Hugging Face Transformers, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Unacademy). Availability signals: actively open to work; high response rate (91%). Notice period 120d — above the JD's preferred 30-day threshold. Located in Vizag, Andhra Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0070398,34,0.82792,"Solid pick: 7.2 YOE as Machine Learning Engineer at Genpact AI. Expert-level skills include BM25, RAG, FAISS, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Genpact AI). Availability signals: actively open to work. Notice period 120d — above the JD's preferred 30-day threshold. Located in Kochi, Kerala (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0027801,35,0.825576,"Solid pick: 7.4 YOE as NLP Engineer at InMobi. Expert-level skills include FAISS, Milvus, QLoRA, TensorFlow, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (InMobi). Availability signals: actively open to work. Notice period 120d — above the JD's preferred 30-day threshold. Located in Hyderabad, Telangana (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0079387,36,0.8253,"Solid pick: 6.9 YOE as AI Engineer at Microsoft. Expert-level skills include scikit-learn, Python, Sentence Transformers, Vector Search, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Microsoft). Availability signals: actively open to work; high response rate (81%). Notice period 30d — within the JD's preferred range. Located in Trivandrum, Kerala (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0029367,37,0.824696,"Solid pick: 5.7 YOE as Senior Data Scientist at Rephrase.ai. Expert-level skills include TensorFlow, FAISS, Sentence Transformers, RAG, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Rephrase.ai). Availability signals: actively open to work; high response rate (77%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Bangalore, Karnataka (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0052335,38,0.8238,"Solid pick: 6.4 YOE as Applied ML Engineer at Aganitha. Expert-level skills include PyTorch, Machine Learning, Learning to Rank, NLP, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Aganitha). Availability signals: actively open to work; high response rate (79%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Berlin (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0064904,39,0.820776,"Solid pick: 4.9 YOE as AI Engineer at LinkedIn. Expert-level skills include Embeddings, Elasticsearch, Prompt Engineering, LLMs, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (LinkedIn). Availability signals: actively open to work; high response rate (78%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Hyderabad, Telangana (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0095528,40,0.8201,"Solid pick: 5.3 YOE as Senior Data Scientist at Netflix. Expert-level skills include PyTorch, Semantic Search, Vector Search, pgvector, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Netflix). Availability signals: actively open to work. Notice period 45d — above the JD's preferred 30-day threshold. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0099806,41,0.818836,"Solid pick: 4.6 YOE as AI Engineer at Mad Street Den. Expert-level skills include LoRA, Prompt Engineering, FAISS, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Mad Street Den). Availability signals: actively open to work; high response rate (76%). Notice period 30d — within the JD's preferred range. Located in Bhubaneswar, Odisha (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0086151,42,0.81764,"Solid pick: 7.7 YOE as Recommendation Systems Engineer at Wysa. Expert-level skills include LangChain, Qdrant, Embeddings, Sentence Transformers, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Wysa). Availability signals: actively open to work. Notice period 120d — above the JD's preferred 30-day threshold. Located in Vizag, Andhra Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0009024,43,0.81718,"Solid pick: 5.2 YOE as Search Engineer at Google. Expert-level skills include PEFT, Recommendation Systems, OpenSearch, LoRA, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Google). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Chennai, Tamil Nadu (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0050454,44,0.8112,"Solid pick: 6.8 YOE as AI Engineer at Rephrase.ai. Expert-level skills include PyTorch, LangChain, QLoRA, Fine-tuning LLMs, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Rephrase.ai). Availability signals: actively open to work; high response rate (77%). Notice period 30d — within the JD's preferred range. Located in Delhi, Delhi (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0007460,45,0.81052,"Solid pick: 4.7 YOE as AI Engineer at Salesforce. Expert-level skills include LangChain, PEFT, Haystack, Weaviate, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Salesforce). Availability signals: actively open to work. Notice period 120d — above the JD's preferred 30-day threshold. Located in Pune, Maharashtra (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0098846,46,0.808984,"Solid pick: 7.6 YOE as AI Engineer at upGrad. Expert-level skills include Hugging Face Transformers, PEFT, QLoRA, Machine Learning, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (upGrad). Availability signals: actively open to work. Notice period 45d — above the JD's preferred 30-day threshold. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0031593,47,0.808727,"Solid pick: 7.8 YOE as Search Engineer at Genpact AI. Expert-level skills include Haystack, BM25, LangChain, Embeddings, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Genpact AI). Availability signals: actively open to work. Notice period 90d — above the JD's preferred 30-day threshold. Located in Kolkata, West Bengal (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0061339,48,0.808475,"Solid pick: 4.2 YOE as Search Engineer at Rephrase.ai. Expert-level skills include Information Retrieval, Milvus, Vector Search, LlamaIndex, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Rephrase.ai). Availability signals: actively open to work; high response rate (90%). Notice period 90d — above the JD's preferred 30-day threshold. Located in Chandigarh, Chandigarh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0000031,49,0.807874,"Solid pick: 6.0 YOE as Recommendation Systems Engineer at Swiggy. Expert-level skills include Pinecone, Embeddings, Information Retrieval, Hugging Face Transformers, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Swiggy). Availability signals: actively open to work; high response rate (91%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Hyderabad, Telangana (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0041610,50,0.807176,"Solid pick: 6.7 YOE as Recommendation Systems Engineer at Zoho. Expert-level skills include Elasticsearch, OpenSearch, BM25, scikit-learn, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Zoho). Availability signals: actively open to work. Notice period 30d — within the JD's preferred range. Located in Indore, Madhya Pradesh (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history."
CAND_0054123,51,0.805629,"Solid pick: 4.7 YOE as Applied ML Engineer at Meta. Expert-level skills include LangChain, pgvector, Weaviate, Qdrant, directly matching the JD's retrieval/ranking requirements. Career includes Tier-A/B product companies (Meta). Availability signals: not marked open to work; high response rate (87%). Notice period 60d — above the JD's preferred 30-day threshold. Located in Gurgaon, Haryana (matches JD's preferred Pune/Noida/NCR geography). Concerns: no clear Tier-A/B product company in career history; not actively signaling job search intent."
